Name reduce-output-bytes shuffle-finish reduce-finish
task_200904102259_0008_r_000387 370535400 33 42
task_200904102259_0008_r_000388 370684800 35 44
task_200904102259_0008_r_000389 370326100 35 47
task_200904102259_0008_r_000390 370200600 33 45
task_200904102259_0008_r_000391 370558300 34 49
task_200904102259_0008_r_000392 370131400 34 45
task_200904102259_0008_r_000393 370132100 39 47
task_200904102259_0008_r_000394 370698900 33 42
task_200904102259_0008_r_000395 370625000 34 43
task_200904102259_0008_r_000396 370433100 35 43
task_200904102259_0008_r_000397 370403800 34 43
task_200904102259_0008_r_000398 370695100 35 43
task_200904102259_0008_r_000399 370247200 35 44
task_200904102259_0008_r_000400 370270000 35 44
task_200904102259_0008_r_000401 370508900 33 40
task_200904102259_0008_r_000402 370314800 36 46
task_200904102259_0008_r_000403 370738500 35 42
task_200904102259_0008_r_000404 370331600 35 44
task_200904102259_0008_r_000405 370348100 34 43
task_200904102259_0008_r_000406 370520600 35 45
task_200904102259_0008_r_000407 370189600 34 42
task_200904102259_0008_r_000408 370317800 34 44
task_200904102259_0008_r_000409 370282900 34 42
task_200904102259_0008_r_000410 370370500 34 42
task_200904102259_0008_r_000411 370302500 33 41
task_200904102259_0008_r_000412 370443200 39 47
task_200904102259_0008_r_000413 370366700 35 44
task_200904102259_0008_r_000414 370445400 35 44
task_200904102259_0008_r_000415 370401600 35 44
task_200904102259_0008_r_000416 370314400 37 45
task_200904102259_0008_r_000417 370393400 35 44
task_200904102259_0008_r_000418 370506700 33 42
task_200904102259_0008_r_000419 370558200 34 42
task_200904102259_0008_r_000420 370480500 35 44
task_200904102259_0008_r_000421 370227900 36 48
task_200904102259_0008_r_000422 370253100 36 45
task_200904102259_0008_r_000423 370618900 35 44
task_200904102259_0008_r_000424 370190700 34 44
task_200904102259_0008_r_000425 370660400 35 45
task_200904102259_0008_r_000426 370457400 35 45
task_200904102259_0008_r_000427 370264900 34 42
task_200904102259_0008_r_000428 370806600 35 43
task_200904102259_0008_r_000429 370096000 35 43
task_200904102259_0008_r_000430 370309900 34 43
task_200904102259_0008_r_000431 370296900 35 45
task_200904102259_0008_r_000432 370491700 32 40
task_200904102259_0008_r_000433 370409100 33 41
task_200904102259_0008_r_000434 370595900 34 43
task_200904102259_0008_r_000435 370443500 35 44
task_200904102259_0008_r_000436 370355800 34 42
task_200904102259_0008_r_000437 370632600 34 43
